year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,8,22,1150,1155,-5,1251,1323,-32,EV,4974,N717EV,LGA,BTV,42,258,11,55,2013-08-22 11:00:00
2013,12,27,837,829,8,1109,1151,-42,UA,224,N805UA,EWR,SNA,311,2434,8,29,2013-12-27 08:00:00
2013,1,18,955,959,-4,1126,1129,-3,MQ,4670,N6EAMQ,LGA,BNA,117,764,9,59,2013-01-18 09:00:00
2013,6,14,2022,1930,52,2246,2224,22,DL,1485,N398DA,LGA,MCO,114,950,19,30,2013-06-14 19:00:00
2013,10,24,2040,2045,-5,2145,2225,-40,AA,371,N4XGAA,LGA,ORD,104,733,20,45,2013-10-24 20:00:00
2013,7,18,1155,1200,-5,1253,1317,-24,DL,1006,N314NB,JFK,BOS,33,187,12,0,2013-07-18 12:00:00
2013,4,23,933,945,-12,1308,1255,13,B6,375,N580JB,LGA,FLL,149,1076,9,45,2013-04-23 09:00:00
2013,4,28,1607,1620,-13,1925,1916,9,B6,985,N607JB,LGA,TPA,149,1010,16,20,2013-04-28 16:00:00
2013,1,22,852,855,-3,1055,1102,-7,EV,4913,N676CA,EWR,DTW,89,488,8,55,2013-01-22 08:00:00
2013,9,22,2245,2245,0,2354,2353,1,B6,234,N193JB,JFK,BTV,51,266,22,45,2013-09-22 22:00:00
2013,3,5,722,725,-3,1015,1030,-15,AS,11,N581AS,EWR,SEA,335,2402,7,25,2013-03-05 07:00:00
2013,4,12,555,600,-5,708,725,-17,UA,635,N854UA,LGA,ORD,110,733,6,0,2013-04-12 06:00:00
2013,7,8,559,605,-6,830,820,10,MQ,3550,N518MQ,LGA,ATL,111,762,6,5,2013-07-08 06:00:00
2013,7,3,1854,1855,-1,2045,2050,-5,MQ,3349,N528MQ,LGA,MSP,142,1020,18,55,2013-07-03 18:00:00
2013,5,5,944,952,-8,1059,1136,-37,EV,4711,N14153,EWR,STL,118,872,9,52,2013-05-05 09:00:00
2013,12,13,1908,1838,30,2236,2214,22,UA,389,N568UA,JFK,SFO,342,2586,18,38,2013-12-13 18:00:00
2013,8,31,817,820,-3,1220,1230,-10,AA,1357,N5EYAA,JFK,SJU,203,1598,8,20,2013-08-31 08:00:00
2013,5,30,853,900,-7,959,1042,-43,EV,5025,N760EV,LGA,BTV,39,258,9,0,2013-05-30 09:00:00
2013,11,21,924,933,-9,1037,1045,-8,UA,384,N462UA,EWR,BOS,36,200,9,33,2013-11-21 09:00:00
2013,8,24,624,630,-6,752,803,-11,EV,4585,N11113,EWR,CLE,63,404,6,30,2013-08-24 06:00:00
2013,2,15,1207,1216,-9,1324,1330,-6,EV,4225,N13914,EWR,BUF,53,282,12,16,2013-02-15 12:00:00
2013,11,9,1651,1629,22,1932,1932,0,B6,1161,N653JB,LGA,PBI,141,1035,16,29,2013-11-09 16:00:00
2013,4,13,1857,1859,-2,2126,2125,1,FL,645,N961AT,LGA,ATL,126,762,18,59,2013-04-13 18:00:00
2013,12,6,1427,1429,-2,1806,1756,10,UA,1205,N29124,EWR,SFO,375,2565,14,29,2013-12-06 14:00:00
2013,3,21,1059,1100,-1,1343,1331,12,DL,1647,N635DL,LGA,ATL,109,762,11,0,2013-03-21 11:00:00
2013,8,23,1459,1459,0,1749,1746,3,B6,581,N358JB,JFK,HOU,201,1428,14,59,2013-08-23 14:00:00
2013,6,24,1836,1411,265,2135,1702,273,B6,1883,N593JB,JFK,MCO,123,944,14,11,2013-06-24 14:00:00
2013,3,24,605,600,5,809,805,4,EV,5020,N611QX,LGA,MEM,160,963,6,0,2013-03-24 06:00:00
2013,3,24,NA,1925,NA,NA,2243,NA,DL,2139,N922DL,LGA,MIA,NA,1096,19,25,2013-03-24 19:00:00
2013,7,19,2137,1930,127,2336,2156,100,9E,3285,N919XJ,JFK,MSY,148,1182,19,30,2013-07-19 19:00:00
2013,12,29,1214,1206,8,1546,1516,30,B6,1129,N571JB,JFK,RSW,184,1074,12,6,2013-12-29 12:00:00
2013,2,15,1758,1630,88,2008,1833,95,B6,1085,N317JB,JFK,CLT,92,541,16,30,2013-02-15 16:00:00
2013,9,5,2111,2015,56,2237,2144,53,B6,702,N355JB,JFK,BUF,56,301,20,15,2013-09-05 20:00:00
2013,11,7,1829,1830,-1,2058,2052,6,9E,2954,N825AY,JFK,CHS,108,636,18,30,2013-11-07 18:00:00
2013,10,15,1431,1415,16,1713,1715,-2,WN,1945,N968WN,LGA,HOU,200,1428,14,15,2013-10-15 14:00:00
2013,3,8,1349,1300,49,1551,1450,61,MQ,4426,N719MQ,LGA,CMH,75,479,13,0,2013-03-08 13:00:00
2013,12,12,811,815,-4,1129,1135,-6,DL,490,N998DL,JFK,FLL,174,1069,8,15,2013-12-12 08:00:00
2013,10,21,1318,1312,6,1618,1624,-6,B6,1639,N564JB,LGA,RSW,167,1080,13,12,2013-10-21 13:00:00
2013,7,26,1550,1550,0,1746,1752,-6,EV,4352,N13978,EWR,CVG,89,569,15,50,2013-07-26 15:00:00
2013,3,14,1729,1655,34,1910,1900,10,WN,4490,N229WN,LGA,STL,127,888,16,55,2013-03-14 16:00:00
2013,4,5,1902,1905,-3,2031,2045,-14,WN,3696,N932WN,LGA,MKE,117,738,19,5,2013-04-05 19:00:00
2013,7,15,813,800,13,1105,1104,1,B6,1511,N665JB,EWR,RSW,144,1068,8,0,2013-07-15 08:00:00
2013,8,29,2204,2140,24,2311,2255,16,MQ,3621,N851MQ,JFK,DCA,46,213,21,40,2013-08-29 21:00:00
2013,7,16,1900,1900,0,2215,2141,34,UA,1442,N38257,EWR,DFW,173,1372,19,0,2013-07-16 19:00:00
2013,12,20,1348,1230,78,1517,1407,70,9E,3516,N293PQ,LGA,MKE,131,738,12,30,2013-12-20 12:00:00
2013,4,17,947,915,32,1313,1232,41,DL,2379,N376NW,LGA,FLL,152,1076,9,15,2013-04-17 09:00:00
2013,10,6,2028,2030,-2,2156,2201,-5,FL,354,N926AT,LGA,CAK,62,397,20,30,2013-10-06 20:00:00
2013,2,28,1358,1359,-1,1508,1534,-26,UA,1734,N77530,EWR,ORD,114,719,13,59,2013-02-28 13:00:00
2013,6,7,2224,2050,94,2344,2229,75,EV,5057,N740EV,LGA,RIC,53,292,20,50,2013-06-07 20:00:00
2013,4,6,744,747,-3,839,857,-18,EV,4696,N16963,EWR,MHT,37,209,7,47,2013-04-06 07:00:00
2013,7,31,1330,1330,0,1618,1625,-7,B6,505,N789JB,EWR,FLL,144,1065,13,30,2013-07-31 13:00:00
2013,11,19,1419,1429,-10,1610,1623,-13,9E,3527,N605LR,LGA,RDU,70,431,14,29,2013-11-19 14:00:00
2013,8,20,601,605,-4,858,905,-7,AA,1837,N3CAAA,LGA,MIA,149,1096,6,5,2013-08-20 06:00:00
2013,5,6,1755,1700,55,1917,1832,45,B6,618,N238JB,JFK,PWM,47,273,17,0,2013-05-06 17:00:00
2013,2,18,1846,1855,-9,2149,2154,-5,UA,258,N581UA,LGA,IAH,206,1416,18,55,2013-02-18 18:00:00
2013,12,8,1709,1705,4,2051,2004,47,B6,753,N639JB,JFK,PBI,147,1028,17,5,2013-12-08 17:00:00
2013,10,14,807,800,7,1016,1005,11,9E,3353,N933XJ,JFK,DTW,83,509,8,0,2013-10-14 08:00:00
2013,12,5,839,825,14,1128,1010,78,MQ,3363,N849MQ,JFK,RDU,72,427,8,25,2013-12-05 08:00:00
2013,4,6,721,710,11,1026,1035,-9,VX,399,N624VA,JFK,LAX,342,2475,7,10,2013-04-06 07:00:00
2013,2,4,1335,1253,42,1628,1555,33,UA,1641,N76265,EWR,MCO,150,937,12,53,2013-02-04 12:00:00
2013,5,6,1228,1235,-7,1324,1351,-27,EV,4243,N16559,EWR,BTV,44,266,12,35,2013-05-06 12:00:00
2013,6,28,1148,1030,78,1507,1345,82,AA,179,N327AA,JFK,SFO,333,2586,10,30,2013-06-28 10:00:00
2013,7,31,622,630,-8,723,750,-27,EV,4241,N29906,EWR,DCA,38,199,6,30,2013-07-31 06:00:00
2013,11,18,1211,1154,17,1428,1409,19,EV,4567,N14125,EWR,MCI,178,1092,11,54,2013-11-18 11:00:00
2013,9,28,1652,1620,32,2013,1940,33,AA,1410,N3DYAA,LGA,MIA,138,1096,16,20,2013-09-28 16:00:00
2013,7,31,911,915,-4,1154,1210,-16,AA,1,N336AA,JFK,LAX,314,2475,9,15,2013-07-31 09:00:00
2013,4,20,657,700,-3,1015,1040,-25,DL,1865,N718TW,JFK,SFO,350,2586,7,0,2013-04-20 07:00:00
2013,5,2,856,900,-4,1122,1128,-6,EV,4388,N13970,EWR,JAX,112,820,9,0,2013-05-02 09:00:00
2013,9,21,1853,1830,23,2129,2112,17,B6,711,N559JB,JFK,LAS,301,2248,18,30,2013-09-21 18:00:00
2013,1,18,1706,1555,71,2019,1907,72,DL,1695,N322US,LGA,TPA,149,1010,15,55,2013-01-18 15:00:00
2013,10,5,2024,2035,-11,2123,2200,-37,9E,3395,N936XJ,JFK,DCA,38,213,20,35,2013-10-05 20:00:00
2013,10,30,906,915,-9,1054,1117,-23,DL,1713,N354NW,EWR,DTW,84,488,9,15,2013-10-30 09:00:00
2013,6,26,2226,1920,186,2322,2047,155,UA,1703,N78501,EWR,BOS,37,200,19,20,2013-06-26 19:00:00
2013,7,10,2201,1825,216,2330,2009,201,EV,5207,N604QX,LGA,BGR,52,378,18,25,2013-07-10 18:00:00
2013,5,5,701,705,-4,850,900,-10,EV,4704,N16981,EWR,GSP,91,594,7,5,2013-05-05 07:00:00
2013,8,8,1504,1406,58,1723,1611,72,EV,4181,N11106,EWR,MCI,160,1092,14,6,2013-08-08 14:00:00
2013,11,25,1440,1440,0,1630,1639,-9,DL,1231,N364NB,LGA,DTW,86,502,14,40,2013-11-25 14:00:00
2013,3,7,919,903,16,1240,1213,27,UA,1496,N76254,EWR,IAH,197,1400,9,3,2013-03-07 09:00:00
2013,4,6,1855,1856,-1,2107,2130,-23,DL,1097,N359NB,JFK,MSY,163,1182,18,56,2013-04-06 18:00:00
2013,6,19,656,700,-4,931,940,-9,AA,2083,N4YJAA,EWR,DFW,187,1372,7,0,2013-06-19 07:00:00
2013,10,18,1342,1345,-3,1641,1657,-16,DL,2449,N348NB,LGA,MIA,152,1096,13,45,2013-10-18 13:00:00
2013,10,11,2311,2245,26,12,2353,19,B6,234,N346JB,JFK,BTV,43,266,22,45,2013-10-11 22:00:00
2013,1,15,1438,1440,-2,1617,1613,4,UA,595,N820UA,EWR,CLE,80,404,14,40,2013-01-15 14:00:00
2013,7,10,632,630,2,855,847,8,B6,211,N789JB,JFK,LAS,304,2248,6,30,2013-07-10 06:00:00
2013,1,16,709,700,9,943,807,96,US,2116,N951UW,LGA,BOS,33,184,7,0,2013-01-16 07:00:00
2013,7,11,1641,1630,11,1936,1945,-9,B6,1801,N658JB,JFK,FLL,142,1069,16,30,2013-07-11 16:00:00
2013,5,6,1451,1455,-4,1714,1805,-51,AA,759,N3FUAA,LGA,DFW,181,1389,14,55,2013-05-06 14:00:00
2013,4,24,550,600,-10,853,850,3,AA,707,N3HCAA,LGA,DFW,218,1389,6,0,2013-04-24 06:00:00
2013,10,1,842,845,-3,1117,1140,-23,UA,1626,N73283,EWR,SAN,308,2425,8,45,2013-10-01 08:00:00
2013,12,3,1926,1805,81,2048,1930,78,WN,1710,N7811F,EWR,MDW,121,711,18,5,2013-12-03 18:00:00
2013,10,30,1935,1934,1,2213,2226,-13,UA,1429,N37290,EWR,LAS,320,2227,19,34,2013-10-30 19:00:00
2013,1,13,1443,1430,13,1747,1735,12,AA,883,N4WSAA,EWR,DFW,217,1372,14,30,2013-01-13 14:00:00
2013,10,17,2206,1935,151,44,2242,122,UA,208,N842UA,EWR,SEA,312,2402,19,35,2013-10-17 19:00:00
2013,1,5,641,637,4,1009,1021,-12,UA,470,N488UA,EWR,PHX,304,2133,6,37,2013-01-05 06:00:00
2013,7,15,1257,1240,17,1501,1435,26,EV,4381,N11565,EWR,DTW,88,488,12,40,2013-07-15 12:00:00
2013,8,13,1325,1325,0,1807,1801,6,UA,15,N76065,EWR,HNL,614,4963,13,25,2013-08-13 13:00:00
2013,12,30,1610,1600,10,1917,1911,6,DL,1785,N910DL,LGA,MCO,154,950,16,0,2013-12-30 16:00:00
2013,9,19,1520,1420,60,1634,1553,41,FL,721,N910AT,LGA,CAK,55,397,14,20,2013-09-19 14:00:00
2013,9,5,2002,2013,-11,2229,2254,-25,EV,4141,N34110,EWR,OKC,183,1325,20,13,2013-09-05 20:00:00
2013,1,1,2018,2020,-2,2314,2324,-10,UA,1299,N13718,EWR,RSW,157,1068,20,20,2013-01-01 20:00:00
2013,11,11,2011,2000,11,2312,2315,-3,VX,415,N851VA,JFK,LAX,345,2475,20,0,2013-11-11 20:00:00
2013,10,24,655,655,0,756,809,-13,B6,318,N184JB,JFK,BOS,38,187,6,55,2013-10-24 06:00:00
2013,8,26,816,820,-4,1100,1135,-35,AA,2267,N3DWAA,LGA,MIA,137,1096,8,20,2013-08-26 08:00:00
2013,6,22,1208,1210,-2,1437,1505,-28,WN,1025,N792SW,LGA,HOU,180,1428,12,10,2013-06-22 12:00:00
2013,9,26,634,639,-5,900,925,-25,UA,1144,N37468,EWR,MCO,125,937,6,39,2013-09-26 06:00:00
2013,11,30,1608,1559,9,1930,1916,14,B6,1801,N630JB,JFK,FLL,149,1069,15,59,2013-11-30 15:00:00
2013,12,6,1337,1130,127,1623,1435,108,AA,1623,N3FSAA,EWR,MIA,147,1085,11,30,2013-12-06 11:00:00
2013,6,2,2010,1935,35,2301,2240,21,UA,1587,N24706,EWR,RSW,153,1068,19,35,2013-06-02 19:00:00
2013,12,11,700,700,0,1021,1040,-19,DL,430,N707TW,JFK,SFO,351,2586,7,0,2013-12-11 07:00:00
2013,11,26,1514,1505,9,1813,1805,8,DL,2181,N359NB,LGA,MCO,142,950,15,5,2013-11-26 15:00:00
2013,11,15,659,705,-6,944,955,-11,AA,1107,N3DEAA,LGA,DFW,207,1389,7,5,2013-11-15 07:00:00
2013,6,21,1033,1029,4,1327,1320,7,B6,1,N639JB,JFK,FLL,149,1069,10,29,2013-06-21 10:00:00
2013,1,9,2209,2159,10,2259,2300,-1,EV,4519,N11187,EWR,BWI,33,169,21,59,2013-01-09 21:00:00
2013,10,16,1947,1950,-3,2141,2140,1,MQ,3573,N839MQ,LGA,CMH,84,479,19,50,2013-10-16 19:00:00
2013,1,23,1700,1705,-5,1757,1830,-33,MQ,4410,N803MQ,JFK,DCA,45,213,17,5,2013-01-23 17:00:00
2013,11,19,1229,1240,-11,1455,1520,-25,AA,300,N426AA,EWR,DFW,188,1372,12,40,2013-11-19 12:00:00
2013,11,14,1922,1920,2,2236,2243,-7,B6,71,N519JB,JFK,SLC,289,1990,19,20,2013-11-14 19:00:00
2013,6,30,1050,1045,5,1234,1241,-7,EV,5033,N754EV,LGA,MEM,141,963,10,45,2013-06-30 10:00:00
2013,12,24,1722,1730,-8,2012,2050,-38,AA,1185,N3JVAA,LGA,DFW,207,1389,17,30,2013-12-24 17:00:00
2013,4,20,1638,1640,-2,1757,1759,-2,EV,4251,N12552,EWR,ROC,47,246,16,40,2013-04-20 16:00:00
2013,12,26,1637,1625,12,1805,1755,10,MQ,3748,N522MQ,EWR,ORD,118,719,16,25,2013-12-26 16:00:00
2013,4,5,1024,1030,-6,1319,1335,-16,UA,602,N537UA,LGA,IAH,192,1416,10,30,2013-04-05 10:00:00
2013,11,17,555,600,-5,844,825,19,WN,1955,N405WN,LGA,ATL,129,762,6,0,2013-11-17 06:00:00
2013,9,9,1945,1950,-5,2118,2141,-23,EV,5038,N605QX,LGA,BHM,108,866,19,50,2013-09-09 19:00:00
2013,12,30,911,905,6,1033,1024,9,B6,208,N249JB,JFK,PWM,45,273,9,5,2013-12-30 09:00:00
2013,4,9,857,900,-3,1141,1143,-2,DL,1747,N6700,LGA,ATL,108,762,9,0,2013-04-09 09:00:00
2013,5,2,1656,1700,-4,2026,2102,-36,B6,703,N703JB,JFK,SJU,187,1598,17,0,2013-05-02 17:00:00
2013,4,20,1614,1615,-1,1831,1836,-5,DL,95,N369NB,JFK,DTW,89,509,16,15,2013-04-20 16:00:00
2013,5,15,2102,2014,48,2350,2324,26,UA,729,N823UA,EWR,MIA,143,1085,20,14,2013-05-15 20:00:00
2013,11,12,1452,1455,-3,1547,1609,-22,DL,1164,N339NW,JFK,BOS,38,187,14,55,2013-11-12 14:00:00
2013,3,20,1400,1359,1,1619,1629,-10,DL,2247,N697DL,LGA,ATL,117,762,13,59,2013-03-20 13:00:00
2013,10,6,1516,1520,-4,1828,1840,-12,DL,1982,N334NB,LGA,MIA,150,1096,15,20,2013-10-06 15:00:00
2013,4,5,1303,1015,168,1609,1310,179,AA,731,N4UCAA,LGA,DFW,189,1389,10,15,2013-04-05 10:00:00
2013,1,18,1300,1259,1,1433,1436,-3,UA,1249,N17126,EWR,ORD,130,719,12,59,2013-01-18 12:00:00
2013,7,3,1741,1630,71,1916,1810,66,B6,2302,N318JB,JFK,BUF,54,301,16,30,2013-07-03 16:00:00
2013,6,13,1640,1644,-4,1816,1817,-1,UA,1177,N23707,EWR,ORD,111,719,16,44,2013-06-13 16:00:00
2013,7,13,1528,1529,-1,1810,1821,-11,B6,573,N632JB,EWR,TPA,138,997,15,29,2013-07-13 15:00:00
2013,4,25,1957,1925,32,2337,2243,54,DL,2139,N919DE,LGA,MIA,157,1096,19,25,2013-04-25 19:00:00
2013,3,11,1010,1015,-5,1205,1208,-3,US,1619,N114UW,EWR,CLT,82,529,10,15,2013-03-11 10:00:00
2013,9,11,1549,1530,19,1859,1843,16,DL,1163,N191DN,JFK,LAX,315,2475,15,30,2013-09-11 15:00:00
2013,7,31,1311,1315,-4,1457,1505,-8,US,1014,N117UW,EWR,CLT,79,529,13,15,2013-07-31 13:00:00
2013,3,15,2006,2015,-9,2156,2210,-14,MQ,4555,N723MQ,LGA,CMH,80,479,20,15,2013-03-15 20:00:00
2013,9,24,1333,1345,-12,1644,1702,-18,DL,476,N322NB,LGA,MIA,150,1096,13,45,2013-09-24 13:00:00
2013,1,14,1924,1930,-6,2120,2115,5,EV,3274,N13566,LGA,CLE,75,419,19,30,2013-01-14 19:00:00
2013,4,21,1313,1325,-12,1435,1500,-25,AA,331,N487AA,LGA,ORD,115,733,13,25,2013-04-21 13:00:00
2013,4,24,1404,1403,1,1538,1524,14,EV,4171,N16561,EWR,MSN,125,799,14,3,2013-04-24 14:00:00
2013,6,20,1153,1200,-7,1301,1333,-32,UA,255,N806UA,LGA,ORD,102,733,12,0,2013-06-20 12:00:00
2013,3,19,1813,1755,18,2118,2059,19,UA,284,N426UA,EWR,DFW,217,1372,17,55,2013-03-19 17:00:00
2013,1,24,1331,1324,7,1625,1624,1,B6,505,N639JB,EWR,FLL,150,1065,13,24,2013-01-24 13:00:00
2013,4,18,2032,1845,107,2330,2217,73,B6,171,N599JB,JFK,SMF,321,2521,18,45,2013-04-18 18:00:00
2013,2,11,1312,1200,72,1445,1303,102,B6,1174,N296JB,EWR,BOS,47,200,12,0,2013-02-11 12:00:00
2013,1,4,831,810,21,1115,1042,33,DL,269,N341NB,JFK,ATL,116,760,8,10,2013-01-04 08:00:00
2013,5,29,802,805,-3,1056,1117,-21,DL,1271,N348NW,JFK,FLL,156,1069,8,5,2013-05-29 08:00:00
2013,3,6,1409,1345,24,1524,1520,4,WN,2963,N958WN,LGA,MDW,107,725,13,45,2013-03-06 13:00:00
2013,9,23,705,710,-5,935,957,-22,UA,478,N483UA,EWR,MCO,127,937,7,10,2013-09-23 07:00:00
2013,10,7,NA,1930,NA,NA,2125,NA,MQ,3349,N515MQ,LGA,MSP,NA,1020,19,30,2013-10-07 19:00:00
2013,9,7,1523,1525,-2,1738,1815,-37,UA,616,N405UA,EWR,IAH,171,1400,15,25,2013-09-07 15:00:00
2013,6,16,1708,1708,0,2051,2033,18,UA,512,N596UA,JFK,SFO,363,2586,17,8,2013-06-16 17:00:00
2013,6,18,657,700,-3,750,811,-21,EV,5819,N13989,EWR,MHT,36,209,7,0,2013-06-18 07:00:00
2013,11,1,815,820,-5,1028,1021,7,US,409,N601AW,EWR,CLT,97,529,8,20,2013-11-01 08:00:00
2013,6,17,1123,1130,-7,1311,1327,-16,US,1085,N163US,LGA,CLT,83,544,11,30,2013-06-17 11:00:00
2013,8,24,1143,1145,-2,1328,1340,-12,MQ,3546,N522MQ,LGA,MSP,142,1020,11,45,2013-08-24 11:00:00
2013,11,11,1148,1154,-6,1353,1409,-16,EV,4567,N11184,EWR,MCI,167,1092,11,54,2013-11-11 11:00:00
2013,1,10,2053,2100,-7,2209,2220,-11,MQ,3744,N510MQ,EWR,ORD,117,719,21,0,2013-01-10 21:00:00
2013,11,8,1151,729,262,1248,843,245,UA,424,N433UA,EWR,BOS,39,200,7,29,2013-11-08 07:00:00
2013,11,21,2118,2120,-2,47,100,-13,UA,1482,N72405,EWR,SFO,363,2565,21,20,2013-11-21 21:00:00
2013,4,2,912,859,13,1211,1219,-8,UA,1581,N76505,EWR,SEA,330,2402,8,59,2013-04-02 08:00:00
2013,3,24,1741,1745,-4,2024,2055,-31,AA,785,N3FGAA,LGA,DFW,204,1389,17,45,2013-03-24 17:00:00
2013,5,18,1618,1545,33,1904,1910,-6,AA,133,N332AA,JFK,LAX,322,2475,15,45,2013-05-18 15:00:00
2013,7,20,641,645,-4,846,908,-22,US,15,N524UW,JFK,PHX,273,2153,6,45,2013-07-20 06:00:00
2013,6,3,707,700,7,950,928,22,DL,1547,N695DL,LGA,ATL,117,762,7,0,2013-06-03 07:00:00
2013,10,27,1959,2000,-1,2230,2303,-33,B6,65,N529JB,JFK,ABQ,252,1826,20,0,2013-10-27 20:00:00
2013,12,22,1939,1925,14,2236,2245,-9,AA,2437,N3HPAA,LGA,MIA,156,1096,19,25,2013-12-22 19:00:00
2013,9,13,1912,1910,2,2213,2203,10,DL,2159,N987DL,JFK,MCO,132,944,19,10,2013-09-13 19:00:00
2013,11,29,1619,1610,9,2134,1925,NA,UA,654,N414UA,EWR,SEA,NA,2402,16,10,2013-11-29 16:00:00
2013,8,21,2039,2046,-7,2211,2228,-17,EV,4548,N11539,EWR,RDU,68,416,20,46,2013-08-21 20:00:00
2013,3,24,2019,2025,-6,2259,2329,-30,UA,771,N512UA,JFK,LAX,307,2475,20,25,2013-03-24 20:00:00
2013,6,12,2109,2045,24,2252,2308,-16,9E,3433,N920XJ,JFK,CVG,85,589,20,45,2013-06-12 20:00:00
2013,4,9,1534,1537,-3,1740,1739,1,EV,4576,N11121,EWR,GRR,105,605,15,37,2013-04-09 15:00:00
2013,6,23,658,700,-2,955,1016,-21,DL,269,N717TW,JFK,SFO,327,2586,7,0,2013-06-23 07:00:00
2013,5,14,811,801,10,936,917,19,EV,3843,N13979,EWR,BTV,46,266,8,1,2013-05-14 08:00:00
2013,2,19,1159,1205,-6,1351,1345,6,MQ,4431,N736MQ,LGA,RDU,82,431,12,5,2013-02-19 12:00:00
2013,9,26,1502,1500,2,1803,1819,-16,DL,161,N16065,JFK,SEA,317,2422,15,0,2013-09-26 15:00:00
2013,3,11,729,729,0,1005,1026,-21,B6,361,N708JB,LGA,PBI,139,1035,7,29,2013-03-11 07:00:00
2013,8,27,1247,1250,-3,1429,1450,-21,DL,1131,N315NB,LGA,DTW,77,502,12,50,2013-08-27 12:00:00
2013,9,6,1930,1935,-5,2214,2250,-36,AA,2437,N3BJAA,LGA,MIA,149,1096,19,35,2013-09-06 19:00:00
2013,9,27,630,630,0,740,753,-13,B6,905,N623JB,JFK,ORD,108,740,6,30,2013-09-27 06:00:00
2013,4,7,1432,1433,-1,1701,1645,16,DL,1819,N901DE,LGA,MSP,183,1020,14,33,2013-04-07 14:00:00
